codigo,nombre,centro,almacen,libre,inspeccion,bloqueado,traslado,total
W73004SJW002,IML 04G P3 WH 70ELR 5C KP LATEX MA 23SHW,RH01,4000.0,207900.0,0.0,0.0,0.0,207900.0
N25004042203,ETIQ AUT CIRCULAR ORANGE 021C 50MM,RH01,4000.0,204990.0,0.0,0.0,0.0,204990.0
W73005FA1001,IML 05G R3 HG 70ELR 4C NUTRAFEED 25FAI,RH01,4000.0,204520.0,0.0,0.0,0.0,204520.0
W73001PU2024,IML 01G M3 WH 50LIH 4C HARMONYFRIO 21PUR,RH01,4000.0,204490.0,0.0,0.0,0.0,204490.0
W73001SHW001,IML 01G R1 WH 50LIW 5C EAA SATIN 25SHW,RH01,4000.0,204000.0,0.0,0.0,0.0,204000.0
W73005TP8006,IML 05G R3 HG 70ELR 4C GENERICO 20 25TOT,RH01,4000.0,202660.0,0.0,0.0,0.0,202660.0
W73004TA2003,IML 04G P3 WH 70ELR 4C FRANJAVERDE 20TAJ,RH01,4000.0,202500.0,0.0,0.0,0.0,202500.0
W73004GA1002,IML 04G P3 WH 70ELR 5C PINT GAMMACO20GAM,RH01,4000.0,200950.0,0.0,0.0,0.0,200950.0
W73004TK1001,IML 04G P3 WH 70ELR 5C TOPEX AC 25SOL,RH01,4000.0,200000.0,0.0,0.0,0.0,200000.0
W73005SD8002,IML 05G P3 WH 70ELR 4C NEGRA CASAA 24SOD,RH01,4000.0,200000.0,0.0,0.0,0.0,200000.0
W73005ST1001,IML 05G R3 HG 70ELR 4C STO 25STO,RH01,4000.0,197670.0,0.0,0.0,0.0,197670.0
W73004CEW001,IML 04G P3 WH 70ELR 5C CONST EAA 25CER,RH01,4000.0,191750.0,0.0,0.0,0.0,191750.0
W73004SJX002,IML 04G P3 WH 70ELR 5C KP LATEX TM 23SHW,RH01,4000.0,191070.0,0.0,0.0,0.0,191070.0
W73001WP2001,IML 01G R1 WH 50LIW 4C REVOLUCION 24MAR,RH01,4000.0,190490.0,0.0,0.0,0.0,190490.0
W73004TRF002,IML 04G P3 WH 70LMG 4C IRIS CONTS 18TRI,RH01,4000.0,187560.0,0.0,0.0,0.0,187560.0
W73001ME6001,IML 01G M3 WH 50LIH 5C GRANDES CON 23MEL,RH01,4000.0,186510.0,0.0,0.0,0.0,186510.0
W73005GA1002,IML 05G P3 WH 70ELR 5C PINT GAMMACO20GAM,RH01,4000.0,186080.0,0.0,0.0,0.0,186080.0
W73001TSK001,IML 01G R1 WH 50LIW 4C TOPEX T-15 24TRA,RH01,4000.0,183850.0,0.0,0.0,0.0,183850.0
W73004TRP001,IML 04G P3 WH 70ELR 4C FAST LAT MA 24TRI,RH01,4000.0,182600.0,0.0,0.0,0.0,182600.0
W73004SJ1003,IML 04G P3 WH 70ELR 5C LACUBM 24SHW,RH01,4000.0,181880.0,0.0,0.0,0.0,181880.0
W73001SJX001,IML 01G R1 WH 50LIW 5C KP LATEX TM 24SHW,RH01,4000.0,181830.0,0.0,0.0,0.0,181830.0
W73005CPH001,IML 05G R3 HG 70ELR 6C SUPER DEFEN 24COP,RH01,4000.0,181200.0,0.0,0.0,0.0,181200.0
W73001WP1001,IML 01G R1 WH 50LIW 4C SIDERAL 24MAR,RH01,4000.0,174400.0,0.0,0.0,0.0,174400.0
W73001AZ1001,IML 01G R1 WH 50LIW 4C LATEX IDCOR 24ALV,RH01,4000.0,170380.0,0.0,0.0,0.0,170380.0
W73001ME7001,IML 01G M3 WH 50LIH 4C PASTAS PURE 24MEL,RH01,4000.0,170000.0,0.0,0.0,0.0,170000.0
7629X1650030,TUE HEX CTE C5 CTE ZN SEG M10-1.5,RH01,4000.0,169630.0,0.0,0.0,0.0,169630.0
W73001SL1001,IML 01G R1 WH 50LIW 5C ANDI LATEX 24SHW,RH01,4000.0,168920.0,0.0,0.0,0.0,168920.0
W73001SK1001,IML 01G R1 WH 50LIW 4C SIKA NEUTRO 20SIK,RH01,4000.0,168230.0,0.0,0.0,0.0,168230.0
J12000300000,AR 55 ZN 1.20 X 30,RH01,4000.0,167070.0,0.0,0.0,0.0,167070.0
